Rank,Full Name,Title,Birth-Date,Death-Date,Biography,Links,Gender,Dialect,Voice,Region,Location,Appearance,AppearanceBasis,Dress,Signature,Set,Epithet,Cliche,Accent,Glyph
0.01,Apollo,Luminary,-10000,-3000,"Apollo is the Olympian sovereign of Light, Reason, and the Arts. He represents the divine spark of human creativity and intellectual clarity. As an Eternal Node, his influence serves as the primary civilizing force at the base of the pillar.",https://en.wikipedia.org/wiki/Special:Search?search=Apollo,male,"classical Attic Greek, golden and clear",luminous and exalted,Southern Europe,"Mount Olympus, Greece",,,,,,,,,
0.02,Isis,Luminary,-10000,-3000,"Isis is the Great Mother and sovereign of Magic and Protection. She represents the nurturing power that restores order from chaos, famously resurrecting her husband Osiris.",https://en.wikipedia.org/wiki/Special:Search?search=Isis,female,"ancient Egyptian, sonorous and ceremonial",tender and lyrical,North Africa,"Nile Delta, Egypt",,,,,,,,,
0.03,Prometheus,Architect,-10000,-3000,Prometheus is the Titan who defied the gods to bring the gift of Fire (Technology) to humanity. He is the primary archetype of the 'Disruptor' and human agency.,https://en.wikipedia.org/wiki/Special:Search?search=Prometheus,male,"classical Attic Greek, defiant",fierce and rallying,Southern Europe,Mount Caucasus,"Wind-thrown long hair, a beard, the body bare — a Titan with no garment to hide behind; the expression enduring rather than pleading.",tradition,Nothing. Chains at the wrists.,The fire still in the hand that is chained.,the rock and the chain,The Fire-Bringer,"Enduring, not suffering — the point of the myth is that he does not break.",#ff6a3d,🔥
0.04,Enki,Architect,-10000,-3000,"Enki was the Sumerian sovereign of Water and Knowledge, credited with the formation of the first human civilizations. He was a master of divine decrees and patron of craftsmen.",https://en.wikipedia.org/wiki/Special:Search?search=Enki,male,"ancient Sumerian, deep and liturgical",sly and silken,Middle East,"Eridu, Sumer",,,,,,,,,
0.05,Minerva,Luminary,-10000,-3000,"Minerva is the sovereign of Wisdom and Strategic Warfare. Born from the mind of Jupiter, she represents the power of rational intellect and disciplined defense.",https://en.wikipedia.org/wiki/Special:Search?search=Minerva,female,"classical Latin, cool and clear",aphoristic and patient,Southern Europe,"Rome, Italy",,,,,,,,,
0.06,Mars,Luminary,-10000,-3000,Mars is the sovereign of War and the Agricultural Cycle. He represents the raw energy and martial discipline required to protect and expand the state.,https://en.wikipedia.org/wiki/Special:Search?search=Mars,male,"classical Latin, martial and hard",cold and commanding,Southern Europe,"Rome, Italy",,,,,,,,,
0.07,Venus,Luminary,-10000,-3000,"Venus is the sovereign of Love, Beauty, and Prosperity. Her influence balances martial energy, focusing on the aesthetic and emotional harmony of the human experience.",https://en.wikipedia.org/wiki/Special:Search?search=Venus,female,"classical Latin, honeyed",warm and persuasive,Southern Europe,Cyprus,,,,,,,,,
0.08,Vulcan,Architect,-10000,-3000,Vulcan is the sovereign of the Forge and Fire. He is the archetypal craftsman who builds the tools of the gods and the infrastructure of the world.,https://en.wikipedia.org/wiki/Special:Search?search=Vulcan,male,"classical Latin, smoke-roughened",blunt and forceful,Southern Europe,"Mount Etna, Sicily",,,,,,,,,
0.09,Neptune,Luminary,-10000,-3000,Neptune is the sovereign of the Seas and the subterranean forces. He represents the unpredictable power of the depths and the necessity of maritime mastery.,https://en.wikipedia.org/wiki/Special:Search?search=Neptune,male,"classical Latin, deep and tidal",imperious and proud,Southern Europe,the deep sea,,,,,,,,,
0.1,Ceres,Luminary,-10000,-3000,Ceres is the sovereign of Agriculture and the Law of the Land. Her influence established the first social contracts based on the shared labor of the earth.,https://en.wikipedia.org/wiki/Special:Search?search=Ceres,female,"classical Latin, ripe and earthy",warm and persuasive,Southern Europe,Sicily,,,,,,,,,
0.11,Bacchus,Luminary,-10000,-3000,"Bacchus is the sovereign of Wine and Ecstasy, representing the liberation of the spirit. He signifies the vital importance of ritual and the subconscious.",https://en.wikipedia.org/wiki/Special:Search?search=Bacchus,male,"classical Greek, wine-loosened",playful and mercurial,Southern Europe,"Thebes, Greece",,,,,,,,,
0.12,Diana Daughter of Jupiter,Luminary,-10000,-3000,"Diana, the daughter of Jupiter, is the sovereign of the Moon, the Wild, and untamed independence. She represents the internal landscape of the human spirit that remains free from the constraints of urban civilization.",https://en.wikipedia.org/wiki/Special:Search?search=Diana%20Daughter%20of%20Jupiter,female,"classical Latin, silver and remote",cold and commanding,Southern Europe,"Rome, Italy",,,,,,,,,
0.13,Hermes,Luminary,-10000,-3000,"Hermes is the sovereign of Communication and Trade. As messenger of the gods, he represents the fluidity of information and the speed of the human mind.",https://en.wikipedia.org/wiki/Special:Search?search=Hermes,male,"classical Attic Greek, quick and bright",playful and mercurial,Southern Europe,"Mount Cyllene, Greece",,,,,,,,,
0.14,Manu,Progenitor,-4000,-3100,"Manu is the legendary first man and lawgiver of the Vedic tradition. He authored the 'Laws of Manu', providing the social framework for ancient Indian civilization.",https://en.wikipedia.org/wiki/Special:Search?search=Manu,male,"Sanskrit-inflected, primordial and grave",serene and unhurried,South Asia,ancient India,,,,,,,,,
0.15,Fuxi,Architect,-3322,-2852,"Fuxi is the first of the Three Sovereigns of ancient China, credited with inventing the Bagua and teaching humanity to live in harmony with natural laws.",https://en.wikipedia.org/wiki/Special:Search?search=Fuxi,male,"old courtly Chinese, ancient",aphoristic and patient,East Asia,ancient China,,,,,,,,,
0.16,Nuwa,Architect,-3322,-2852,Nuwa is the mother goddess and sovereign who repaired the pillars of heaven. She represents the maternal sovereignty that sustains cosmic balance.,https://en.wikipedia.org/wiki/Special:Search?search=Nuwa,female,"old courtly Chinese, ancient",tender and lyrical,East Asia,ancient China,,,,,,,,,
0.17,Gilgamesh,King,-2800,-2700,Gilgamesh was the King of Uruk and the hero of the world's oldest epic. He represents the search for eternal life and the building of great works.,https://en.wikipedia.org/wiki/Special:Search?search=Gilgamesh,male,"ancient Sumerian, kingly and weary",weary-wise and inward,Middle East,"Uruk, Sumer","Heavy and squared in the Mesopotamian manner, the build unafraid rather than clever; the long tiered Sumerian beard; one shoulder and the chest bare.",tradition,"Hair bound with a fillet — a king, but no crown, because he is two parts god already; armbands.",The walls of Uruk; the cedar axe.,"the walls of Uruk behind him, and they are the monument",Two Parts God,Not a Greek hero — the proportions and beard are Sumerian and should stay so.,#c8901f,🏰
0.18,Enkidu,Hero,-2800,-2700,Enkidu was the sovereign of the Wild and companion of Gilgamesh. His life represents the human struggle to master the animal self and the reality of mortality.,https://en.wikipedia.org/wiki/Special:Search?search=Enkidu,male,"ancient Sumerian, wild and rough",blunt and forceful,Middle East,the wilds of Sumer,,,,,,,,,
0.19,Utnapishtim,Progenitor,-4000,-2500,Utnapishtim is the Mesopotamian immortal who survived the Great Flood. He represents the sovereignty of Ancient Memory and the endurance of knowledge.,https://en.wikipedia.org/wiki/Special:Search?search=Utnapishtim,male,"ancient Sumerian, old as the flood",serene and unhurried,Middle East,"Shuruppak, Sumer",,,,,,,,,
0.2,Inanna,Luminary,-10000,-4000,Inanna is the Sumerian sovereign of Love and Political Power. She represents the mastery of the cycle of life and death through her descent to the underworld.,https://en.wikipedia.org/wiki/Special:Search?search=Inanna,female,"ancient Sumerian, fierce and bright",fierce and rallying,Middle East,"Uruk, Sumer",,,,,,,,,
0.21,Enlil,Luminary,-10000,-4000,"Enlil is the sovereign of the Atmosphere and the Divine Word. He held the 'Tablets of Destiny', granting him authority over the fates of all beings.",https://en.wikipedia.org/wiki/Special:Search?search=Enlil,male,"ancient Sumerian, thunderous",thunderous and prophetic,Middle East,"Nippur, Sumer",,,,,,,,,
0.22,Pandora,Entity,-8000,-7900,Pandora was the first woman in Greek myth. Her narrative anchors the archetype of the 'Carrier of Hope' and the sovereign weight of curiosity.,https://en.wikipedia.org/wiki/Special:Search?search=Pandora,female,"classical Greek, fateful",melancholy and reflective,Southern Europe,Greece,,,,,,,,,
0.23,Jupiter,Luminary,-10000,-4000,"Jupiter, the King of the Gods, represents the sovereignty of the Sky, Justice, and the Celestial Order. He is the archetypal 'Father Figure' who established the laws governing both gods and men.",https://en.wikipedia.org/wiki/Special:Search?search=Jupiter,male,"classical Latin, sovereign and vast",imperious and proud,Southern Europe,"Rome, Italy",,,,,,,,,
0.24,Epimetheus,Architect,-8000,-7900,Epimetheus was the Titan of 'Afterthought'. He represents the sovereign weight of consequence and the necessity of reflection in human action.,https://en.wikipedia.org/wiki/Special:Search?search=Epimetheus,male,"classical Greek, rueful",melancholy and reflective,Southern Europe,Greece,,,,,,,,,
