key,name,subtitle,lat,lon,radius_km,ground,ground_px,m_per_px,detail,places,note
# ============================================================================
# FRAMES.csv  ->  Amenti.live/FRAMES.csv
# FRAMES.csv · THE REGIONS THIS SHIP CAN STAND ON               SLIP #4 / #85
# ----------------------------------------------------------------------------
# Attica was built as one surface with its box written into amenti-attica.js as
# constants. IT WAS NEVER GOING TO BE THE ONLY ONE. Marathon outgrew it on its
# first real use — the campaign enters from Cilicia and the frame is a hundred
# miles — and ATTICA-EXTENTS.csv then said the same thing from the data side:
# the Aegean's own bounding box is 768 x 817 km inside a 320 km frame.
#
# SO THE FRAME BECOMES A ROW RATHER THAN A CONSTANT. This file is that row.
#
# -- THESE ARE REFERENCE FRAMES AND MOST ARE NOT DETAILED ------------------
# `detail: full` means the frame has authored registers behind it — a why
# column, events, moves, cues. ONLY ATTICA HAS THOSE and it took three days.
# `detail: reference` means the frame exists, its places are harvested, and
# NOTHING HAS BEEN AUTHORED ON IT. That is a real and useful state: a reader
# can stand on Sicily and see 750 ancient places on measured ground, and the
# surface must not pretend that anyone has curated them.
#
# A REFERENCE FRAME MUST SAY THAT IT IS ONE. Silence would let a reader take
# an unauthored surface for a finished one, which is the same fault as a wash
# standing in for an extent.
#
# -- GROUND IS THE EXPENSIVE PART AND IT IS OPTIONAL ------------------------
# ATTICA.jpg is 8192 px of Copernicus 30 m land and ETOPO sea, cut by
# tools/render-attica.py. Every frame here could have one and none of them
# needs one to exist: amenti-attica.js already states the case in its own
# header — ground without places is a chart, places without ground is a
# constellation, and either is better than a blank surface with no reason
# given. `ground` names the image if it has been cut, and is blank if not.
#
# -- AND THE WORLD MAP CANNOT LEND ITS GROUND -------------------------------
# It holds COAST, RIVERS, LAKES, REGIONS and PEAKS for the whole earth, and
# every one of them is NATURAL EARTH 1:50m. Measured inside these frames:
#
#     attica    84 coast vertices across 320 km   — one every 4 km
#     sicilia   25 across 440 km                  — one every 18 km
#     rhenus    21 across 800 km · levant 15 across 520 km
#     rivers    ZERO inside attica, latium, sicilia, creta and africa
#
# At 40 km a pixel that is the right instrument and the world map is correct to
# use it. AT 39 METRES A PIXEL IT IS A POLYGON, NOT A COAST. That is why
