year,name,category,at,lat,lon,where,note,event
# ============================================================================
# ATTICA-EVENTS.csv  ->  Amenti.live/ATTICA-EVENTS.csv
# ATTICA-EVENTS.csv · WHAT HAPPENED ON THIS GROUND
# ----------------------------------------------------------------------------
# -- THE `event` COLUMN · added 9 Sep 2026 -----------------------------------
# THERE ARE TWO TIMELINES ON THIS SHIP AND THEY WERE NOT SPEAKING.
# EVENTS.csv is the world's: 536 events, 9500 BC to AD 2061, read by the hall.
# This file is the ground's: 26 events inside one frame, keyed to Pleiades
# through `at`, which the world register has no column for.
#
# EIGHT EVENTS WERE IN BOTH UNDER DIFFERENT NAMES and nothing said so. Ask the
# hall about the trial of Socrates and ask the map, and two records of one
# event came back from two files that had never been checked against each
# other. `event` names the world register's row where one exists.
#
# -- IT IS AWARENESS AND NOT A MERGE -----------------------------------------
# The two registers CANNOT become one and it is not a defect that they are
# separate. EVENTS.csv spans the whole earth: 320 of its events fall after AD
# 700 and 150 lie outside Pleiades' country entirely — Japan, China, the
# Americas. Pleiades is a classical gazetteer of the ancient Mediterranean, and
# only 36 of 536 world events match a title in it at all. A WORLD TIMELINE
# CANNOT BE KEYED TO A CLASSICAL GAZETTEER. That was measured before it was
# decided.
#
# -- A BLANK IS A QUEUE, NOT AN ERROR ----------------------------------------
# Eighteen rows here name no world event. Salamis, the plague, Dekeleia,
# Leuktra, Chaeronea. A frame register is ALLOWED to hold what a world one does
# not — a deme-level event has no business on a global timeline. The blank does
# not say `this ought to be up there`; it says `this is not up there`, and the
# captain decides which are which, one at a time.
#
# -- AND IT POINTS AT A NAME BECAUSE THERE IS NOTHING ELSE TO POINT AT --------
# EVENTS.csv HAS NO KEY COLUMN. No id, nothing stable; its only identifier is
# the name it happens to carry today. So this points at that name, which is
# fragile and is the best that exists. probes/probe-attica.mjs checks every
# non-blank `event` still names a row over there, and says so the day one is
# renamed.
#
# MATCHED BY NAME, NOT BY YEAR. Four events here fall in 480 BC and only one of
# them is Thermopylae; a year-match called all four the same event.
#
# columns  year name category at lat lon where note event
# ============================================================================
-490,Battle of Marathon,conflict,pl-580021,38.14655,23.97015,the plain between the marshes,Persian landing beach. Marsh at both ends narrowed the front to ground the Athenians could hold.,Battle of Marathon
-480,Battle of Thermopylae,conflict,pl-541140,38.796,22.54364,the strip between cliff and sea,THE SEA IS SIX KILOMETRES NORTH OF HERE NOW. The pass is in the terrain; the narrowness was made of water.,Battle of Thermopylae
-480,Battle of Salamis,conflict,,37.9450,23.5600,the strait between the island and the shore,A sea-fight has no single position. This is the middle of the channel the Persian fleet entered.,
-480,Landing on Psyttaleia,conflict,pl-580094,37.94089,23.58839,the island in the channel mouth,Aristides put hoplites ashore on the island the Persians had garrisoned.,
-480,Athens burned by the Persians,conflict,pl-807514119,37.9755,23.72265,the city and the Acropolis,The Older Parthenon was destroyed. Its burnt drums were built into the north wall and left visible.,
-479,Battle of Plataea,conflict,,38.2200,23.2700,the ground below Kithairon,"The last land battle of the Persian invasion, fought on the Boeotian plain under the pass.",
-478,The Themistoclean wall raised,building,pl-310115518,37.98104,23.72876,around the city,"Built in haste from whatever stood, including grave stelai — which is why the Kerameikos is dated by them.",
-461,The Long Walls begun,building,pl-585128,37.96237,23.70261,between the city and its port,"Six miles of wall joining Athens to Piraeus, making the city an island as long as the fleet held.",
-447,The Parthenon begun,building,pl-168254096,37.97156,23.72658,the Acropolis rock,"Built over the burnt foundations of its predecessor, thirty-three years after the Persians left.",Parthenon construction begins
-431,The Peloponnesian War begins,conflict,pl-205264674,37.97143,23.71947,the assembly hill,Voted for on the Pnyx. The countryside was abandoned and the population brought inside the Long Walls.,Peloponnesian War begins
-430,The plague at Athens,disaster,pl-580062,37.93722,23.64461,the port and the crowded city,It came ashore at Piraeus and spread through a population packed inside the walls by the war.,
-424,Battle of Delion,conflict,pl-540725,38.34621,23.66135,the sanctuary above the strait,An Athenian defeat in Boeotia. Sokrates is said to have retreated in good order.,
-415,The fleet sails for Sicily,departure,pl-579966,37.94163,23.63699,the commercial harbour,"A DEPARTURE, NOT A ROUTE. Where the fleet left from is recorded; the passage it took is not.",
-413,Sparta fortifies Dekeleia,conflict,pl-579907,38.13303,23.79187,high ground over the plain,A permanent garrison in sight of Athens. The silver mines stopped and the countryside was lost.,
-406,Battle of Arginusae aftermath,trial,pl-205264674,37.97143,23.71947,the assembly hill,The generals were tried and executed for failing to recover the dead. Sokrates alone refused to put it to the vote.,
-404,The Long Walls pulled down,conflict,pl-585128,37.96237,23.70261,between the city and its port,Sparta required their demolition. The city and the port were separated again.,
-403,The return from Phyle,conflict,pl-580079,38.13996,23.63692,the fort in the mountain,Thrasyboulos held the fort above the plain and marched down through Piraeus to end the Thirty.,
-399,The trial of Sokrates,trial,pl-807514119,37.9755,23.72265,the law courts on the Agora,Tried and condemned in the marketplace he had spent his life arguing in.,Trial and death of Socrates
-387,Plato founds the Academy,school,pl-479670108,37.99245,23.70735,the olive grove outside the walls,"A public gymnasion with shade and water, a mile from the city — not a retreat but a place anyone could reach.",Plato founds the Academy
-371,Battle of Leuktra,conflict,pl-540913,38.25441,23.18211,the Boeotian plain,Thebes broke the Spartan line and with it the reputation of Spartan infantry.,
-338,Battle of Chaeronea,conflict,pl-540701,38.49397,22.84143,the plain at the pass,Philip and Alexander ended the independence of the Greek cities on flat ground below the road north.,
-335,Aristotle founds the Lyceum,school,pl-122572945,37.97403,23.74338,the gymnasion east of the city,"The other school, on the far side of Athens from the Academy. Two of them in one small city.",Aristotle founds Lyceum
-86,Sulla storms Athens,conflict,pl-97294452,37.97842,23.7183,the Kerameikos wall,"The Roman assault came in at the weakest stretch of wall, by the potters' quarter and the graves.",
267,The Herulian sack,conflict,pl-807514119,37.9755,23.72265,the Agora and the lower city,"Afterwards a new wall was thrown up enclosing a fraction of the old city, using the rubble of the Agora.",
1687,The Parthenon explodes,disaster,pl-168254096,37.97156,23.72658,the Acropolis rock,A Venetian shell reached the Ottoman powder store inside the temple. It had stood two thousand years.,
1896,The first modern Olympics,games,pl-433457819,37.96833,23.74139,the ravine between two hills,"Held in the Panathenaic Stadium, which is a natural ravine adapted rather than a building.",Athens Olympics
