year,name,category,description,Place,note
-1334,Tutankhamun reigns,politics,Boy pharaoh restores Egyptian religion.,,
-509,Roman Republic Founded,politics,Last king expelled; Republic begins.,,
-508,Athenian democracy,politics,"Cleisthenes reforms, first democracy.",,
-323,Death of Alexander,politics,Empire fragments into Diadochi.,,
-221,Qin unifies China,politics,First Emperor Shi Huangdi.,,
-202,Han Dynasty begins,politics,Liu Bang founds Han China.,,
-100,Birth of Julius Caesar,politics,Roman general and statesman.,,
-44,Assassination of Caesar,politics,Ides of March; Roman Republic ends.,,
-27,Roman Empire begins,politics,Augustus becomes first Emperor.,,
220,Han Dynasty ends,politics,Three Kingdoms period begins in China.,,
284,Diocletian reforms Rome,politics,Tetrarchy and economic reforms.,,
395,Roman Empire splits,politics,East and West divided permanently.,,
476,Fall of Western Rome,politics,Last Western Emperor deposed.,,
527,Justinian becomes Emperor,politics,Begins reconquest of the West.,,
661,Umayyad Caliphate begins,politics,Capital moves to Damascus.,,
750,Abbasid Caliphate,politics,Capital moves to Baghdad.,,
800,Charlemagne crowned Emperor,politics,Holy Roman Empire begins.,,
843,Treaty of Verdun,politics,Carolingian Empire divided.,,
907,Tang Dynasty falls,politics,Five Dynasties period in China.,,
962,Holy Roman Empire founded,politics,Otto I crowned by the Pope.,,
1192,Kamakura Shogunate,politics,First samurai government in Japan.,,
1227,Death of Genghis Khan,politics,Mongol Empire at its peak.,,
1271,Yuan Dynasty founded,politics,Kublai Khan rules China.,,
1368,Ming Dynasty founded,politics,Hongwu Emperor expels the Mongols.,,
1381,Peasants' Revolt,politics,Wat Tyler's rebellion in England.,,
1494,Treaty of Tordesillas,politics,Spain and Portugal divide the world.,,
1556,Akbar becomes Mughal Emperor,politics,Great expansion of Mughal India.,,
1644,Ming Dynasty falls,politics,Qing Dynasty begins in China.,,
1648,Treaty of Westphalia,politics,Ends Thirty Years' War; modern state system.,,
1649,Charles I executed,politics,English Commonwealth begins.,,
1660,Restoration of Charles II,politics,Stuart monarchy restored.,,
1690,Locke's Two Treatises,politics,Natural rights and government by consent.,,
1707,Act of Union (Britain),politics,Scotland and England unite.,,
1714,Hanoverian succession,politics,George I becomes British king.,,
1762,Rousseau Social Contract,politics,Sovereignty of the people.,,
1773,Boston Tea Party,politics,American protest against British tax.,,
1776,US Declaration of Independence,politics,Thirteen colonies declare independence.,,
1783,Treaty of Paris,politics,US independence recognized.,,
1789,French Revolution begins,politics,Storming of the Bastille.,,
1789,Washington inaugurated,politics,First US President.,,
1793,Reign of Terror,politics,Robespierre dominates France.,,
1803,Louisiana Purchase,politics,US doubles in size.,,
1804,Napoleon crowned Emperor,politics,Crowns himself in Notre-Dame.,,
1821,Death of Napoleon,politics,Exiled at Saint Helena.,,
1823,Monroe Doctrine,politics,Americas closed to European colonization.,,
1830,Indian Removal Act,politics,US forced relocation of native nations.,,
1837,Victoria becomes Queen,politics,Beginning of the Victorian era.,,
1842,Treaty of Nanking,politics,Hong Kong ceded to Britain.,,
1848,Communist Manifesto published,politics,Marx and Engels.,,
1848,Revolutions of 1848,politics,Liberal uprisings across Europe.,,
1848,Seneca Falls Convention,politics,First women's rights convention.,,
1853,Perry opens Japan,politics,US Navy ends Japanese isolation.,,
1860,Italian unification advances,politics,Garibaldi's Sicilian expedition.,,
1865,Lincoln assassinated,politics,End of US Civil War; Reconstruction begins.,,
1871,German Empire founded,politics,Bismarck unifies Germany.,,
1884,Berlin Conference,politics,European partition of Africa.,,
1893,Women's suffrage in NZ,politics,First nation to grant women the vote.,,
1911,Chinese Revolution,politics,End of imperial China.,,
1917,Balfour Declaration,politics,Britain supports Jewish homeland.,,
1917,Russian Revolution,politics,Bolsheviks seize power.,,
1919,Treaty of Versailles,politics,Punitive peace with Germany.,,
1920,League of Nations founded,politics,Failed predecessor to UN.,,
1922,Mussolini March on Rome,politics,Fascist takeover of Italy.,,
1922,Soviet Union founded,politics,USSR formally established.,,
1923,Republic of Turkey founded,politics,Ataturk modernizes.,,
1924,Death of Lenin,politics,Stalin's rise begins.,,
1928,Pact of Paris,politics,Kellogg-Briand renounces war.,,
1933,FDR New Deal,politics,US response to Great Depression.,,
1933,Hitler becomes Chancellor,politics,Nazi Party takes power.,,
1938,Munich Agreement,politics,Appeasement of Hitler.,,
1939,Hitler-Stalin Pact,politics,Non-aggression treaty.,,
1945,Death of Hitler,politics,Suicide in Berlin bunker.,,
1945,United Nations founded,politics,UN Charter signed in San Francisco.,,
1945,Yalta Conference,politics,Allies divide postwar world.,,
1946,Iron Curtain speech,politics,"Churchill at Fulton, Missouri.",,
1947,Indian Independence,politics,Partition of British India.,,
1948,State of Israel founded,politics,Modern Israel declares independence.,,
1949,Mao founds PRC,politics,People's Republic of China.,,
1949,NATO founded,politics,Western military alliance.,,
1953,Stalin dies,politics,Khrushchev rises.,,
1955,Rosa Parks,politics,Montgomery bus boycott begins.,,
1959,Cuban Revolution,politics,Castro takes power.,,
1961,Berlin Wall built,politics,Division of Germany formalized.,,
1963,I Have a Dream speech,politics,MLK at the March on Washington.,,
