key,name,why
# ============================================================================
# ATTICA-WHY.csv  →  Amenti.live/ATTICA-WHY.csv
# ATTICA-WHY.csv · WHY THE GROUND MATTERED
# ----------------------------------------------------------------------------
# ATTICA.csv holds 1746 places and Pleiades holds none of this. A gazetteer
# records that a thing was HERE; it does not record why anyone should care.
# ----------------------------------------------------------------------------
# THE CORPUS CHOSE THE SECOND BATCH. The first 39 rows were chosen by hand.
# The 48 rows below them were chosen by ATTICA-MENTIONS.csv: every one is named
# by FOUR OR MORE reading rooms and had no sentence. 211 corroborated places
# still have none; four rooms is the cut, not the end.
#
# ── AND THESE ARE DRAFTS ──────────────────────────────────────────────
# Written by the assistant and NOT CHECKED AGAINST A SOURCE. Every one is a
# claim a person should either confirm or replace. The register is honest
# about its coordinates being authored; this is the same admission about its
# prose. Overwrite freely — that is what the column is for.
#
# The sentence answers ONE question: what about this ground, or this thing on
# it, decided something. Not what it was — the `kind` column says that.
# ============================================================================
pl-579885,Athenae,"The city itself: a defensible rock with a spring, a plain behind it for grain, and a bay six miles off deep enough for a fleet. Few places in Greece have all three."
pl-807514119,Agora of Athens,"Market, law court, mint and meeting place on one patch of level ground below the Acropolis — the only large flat space inside the walls, and so the place the city did everything in public."
pl-310115518,Dipylon Gate,"The main gate, where the road from Eleusis and the Panathenaic procession both entered. A double gate with a courtyard: an enemy through the first was trapped under the walls."
pl-97294452,Kerameikos,"The potters' quarter outside the wall, and the state burial ground. Athens put its dead and its kilns on the same downwind side of the city."
pl-143098101,Stoa Poikile,"A painted colonnade on the Agora's north side. Zeno taught under it and his followers were named for the porch rather than for him."
pl-205264674,Pnyx,"A hillside cut into a bowl facing the city, where the assembly met. The speaker stood with the Acropolis behind the crowd — a democracy that voted in the open air, in sight of what it was voting about."
pl-969121823,Areopagus,"The bare rock west of the Acropolis where the oldest council sat, and later the homicide court. High enough to see the Agora and separate from it."
pl-479670108,Academy/Akademeia/Akademia,"An olive grove and gymnasion a mile outside the walls, watered by the Kephisos. Plato taught there because it was public ground with shade and water, not because it was his."
pl-122572945,Lyceum,"The other gymnasion, east of the city, where Aristotle walked while teaching. Two schools on opposite sides of one small city."
pl-639740331,Panathenaic Way,"The processional road from the Dipylon Gate through the Agora and up to the Acropolis. The one route the whole city walked together, and the reason the Agora is shaped as it is."
pl-433457819,Panathenaic Stadium,"A natural ravine between two hills, adapted rather than built — the ground gave the seating and the track its length."
pl-649966335,Theater of Dionysus Eleuthereus,"Cut into the south slope of the Acropolis, so the hill carried the seats and the audience faced the sea. Tragedy was performed here first."
pl-168254096,Parthenon,"Built on the Acropolis rock over the burnt foundations of an earlier temple the Persians destroyed in 480 BC. The ruin was left visible for a generation before it was replaced."
pl-750203268,Erechtheion,"Built around older things that could not be moved — the salt spring, the olive, the tomb. Its awkward plan is the ground refusing to be levelled."
pl-579966,Kantharos Limen,"The commercial harbour of Piraeus and the largest of the three. Grain from the Black Sea and Egypt came ashore here, and Athens could be starved by closing it."
pl-580136,Zea Limen,"The main naval harbour, ringed with ship-sheds — close to two hundred slipways cut into the rock, where the trireme fleet was drawn out of the water between campaigns."
pl-580029,Mounichia Limen,"The smallest and most defensible of the three Piraeus harbours, under the hill fort. A fleet could be held here when the city could not hold the others."
