year,name,category,description,Place,Geo-Tier,kind,note
-1274,Battle of Kadesh,conflict,Largest chariot battle in history.,"Kadesh, Syria",,moment,
-1200,Trojan War (traditional date),conflict,Mythic siege of Troy.,,,,the tradition names Troy; whether the war happened is the question
-586,Babylonian destruction of Jerusalem,conflict,First Temple destroyed.,"Jerusalem, Israel",,moment,
-490,Battle of Marathon,conflict,Athenian victory over Persia.,"Marathon, Greece",,moment,
-480,Battle of Thermopylae,conflict,Spartan stand against Xerxes.,"Thermopylae, Greece",,moment,
-431,Peloponnesian War begins,conflict,Athens vs Sparta.,"Athens, Greece",,moment,Athens votes for war; the theatre is the whole Aegean
-264,First Punic War,conflict,Rome vs Carthage begins.,Sicily,,span,"Rome against Carthage, fought for Sicily and at sea"
-218,Hannibal crosses the Alps,conflict,Second Punic War.,the Alps,,span,
-146,Destruction of Carthage,conflict,Third Punic War ends.,"Carthage, Tunisia",,moment,
-63,Pompey takes Jerusalem,conflict,Rome enters Judea.,"Jerusalem, Israel",,moment,
-31,Battle of Actium,conflict,Octavian defeats Antony and Cleopatra.,"Actium, Greece",,moment,
9,Battle of Teutoburg Forest,conflict,Germanic tribes destroy Roman legions.,"Kalkriese, Germany",,moment,
70,Fall of Jerusalem,conflict,Roman destruction of Second Temple.,"Jerusalem, Israel",,moment,
378,Battle of Adrianople,conflict,Goths defeat Romans; military revolution.,"Edirne, Turkey",,moment,
410,Sack of Rome by Visigoths,conflict,Alaric breaches the city.,"Rome, Italy",,moment,
451,Battle of Chalons,conflict,Attila the Hun defeated in Gaul.,"Chalons-en-Champagne, France",,moment,
455,Vandal sack of Rome,conflict,Genseric plunders the eternal city.,"Rome, Italy",,moment,
636,Battle of Yarmouk,conflict,Muslim conquest of Levant.,"Yarmouk, Syria",,moment,
732,Battle of Tours,conflict,Charles Martel halts Umayyad advance.,"Tours, France",,moment,
793,Lindisfarne raid,conflict,Viking Age begins.,"Lindisfarne, England",,moment,
1066,Battle of Hastings,conflict,William the Conqueror takes England.,"Hastings, England",,moment,
1066,Norman Conquest of England,conflict,Battle of Hastings.,"Hastings, England",,moment,
1071,Battle of Manzikert,conflict,Seljuks defeat Byzantines.,"Manzikert, Turkey",,moment,
1099,Crusaders take Jerusalem,conflict,First Crusade succeeds.,"Jerusalem, Israel",,moment,
1147,Second Crusade,conflict,Failed campaign in the Holy Land.,Middle East,,span,
1189,Third Crusade,conflict,Richard Lionheart vs Saladin.,Middle East,,span,
1204,Sack of Constantinople,conflict,Fourth Crusade turns on Byzantines.,Constantinople,,span,
1241,Mongols invade Europe,conflict,"Battle of Mohi, Legnica.",Eastern Europe,,span,
1258,Mongol sack of Baghdad,conflict,End of the Abbasid Caliphate.,"Baghdad, Iraq",,moment,
1291,Fall of Acre,conflict,Last Crusader state falls.,"Acre, Israel",,moment,
1314,Battle of Bannockburn,conflict,Scottish independence from England.,"Bannockburn, Scotland",,moment,
1337,Hundred Years' War begins,conflict,England vs France.,"Paris, France",,moment,Edward III claims the French crown; the war is fought across France
1346,Battle of Crecy,conflict,English longbow defeats French knights.,"Crecy, France",,moment,
1389,Battle of Kosovo,conflict,Ottoman advance into the Balkans.,"Pristina, Kosovo",,moment,
1398,Timur sacks Delhi,conflict,Tamerlane's devastating raid.,"Delhi, India",,moment,
1402,Battle of Ankara,conflict,Timur captures Ottoman Sultan Bayezid.,"Ankara, Turkey",,moment,
1415,Battle of Agincourt,conflict,Henry V's famous English victory.,"Agincourt, France",,moment,
1431,Joan of Arc burned,conflict,Executed at Rouen.,"Rouen, France",,moment,
1453,End of Hundred Years' War,conflict,French victory at Castillon.,France,,span,the English driven out; no single field
1453,Fall of Constantinople,conflict,Ottoman conquest; Byzantine Empire ends.,Constantinople,,span,
1485,Battle of Bosworth Field,conflict,Tudor dynasty begins in England.,"Bosworth, England",,moment,
1572,St Bartholomew's Day massacre,conflict,French Protestants killed.,"Paris, France",,moment,
1588,Spanish Armada defeated,conflict,English victory over Philip II's fleet.,England,,span,
1592,Imjin War,conflict,Japanese invasions of Korea.,Korea,,span,
1605,Gunpowder Plot,conflict,Failed attempt to blow up Parliament.,"London, England",,moment,
1618,Thirty Years' War begins,conflict,Defenestration of Prague.,"Prague, Czechia",,moment,the Defenestration of Prague; the war is Central Europe entire
1683,Siege of Vienna,conflict,Ottoman advance halted.,"Vienna, Austria",,moment,
1700,Great Northern War begins,conflict,Russia rises under Peter the Great.,"Copenhagen, Denmark",,moment,the allied attack on Holstein-Gottorp opens it; the theatre is the Baltic
1756,Seven Years' War,conflict,First true world war.,Europe,,span,"the first global war — also India, North America, the Caribbean"
1775,American Revolution begins,conflict,Battles of Lexington and Concord.,"Lexington, United States",,moment,the first shot; the revolution is thirteen colonies
1781,Battle of Yorktown,conflict,British surrender; American victory.,"Yorktown, United States",,moment,
1791,Haitian Revolution begins,conflict,Largest successful slave revolt.,Haiti,,span,
1812,Napoleon invades Russia,conflict,Disastrous retreat from Moscow.,Russia,,span,
1815,Battle of Waterloo,conflict,Napoleon defeated; Concert of Europe begins.,"Waterloo, Belgium",,moment,
1839,First Opium War,conflict,Britain forces opium trade on China.,China,,span,
1854,Crimean War,conflict,"Russia vs Britain, France, Ottomans.",Crimea,,span,
1861,American Civil War begins,conflict,Fort Sumter attacked.,"Charleston, United States",,moment,Fort Sumter; the war is half a continent
1876,Battle of Little Bighorn,conflict,Custer's last stand.,"Little Bighorn, United States",,moment,
